,Company Ticker
973,FSLR
974,ROL
975,HUBS
976,ZNH
977,SNAP
978,1997.HK
979,4578.T
980,ASM.AS
981,ETSY
982,UHR.SW
983,BALL
984,PKI
985,PKN.WA
986,600600.SS
987,8802.T
988,ABMD
989,RIVN
990,8267.T
991,ADANITRANS.NS
992,BR
993,CAG
994,0823.HK
995,AES
996,FICO
997,001979.SZ
998,CF
999,MOS
1000,HINDZINC.NS
1001,TEP.PA
1002,600999.SS
1003,DOL.TO
1004,MGM
1005,PINS
1006,2802.T
1007,TW
1008,UI
1009,IEX
1010,WPC
1011,TRGP
1012,FWONK
1013,4523.T
1014,KRZ.IR
1015,2502.T
1016,TER
1017,RPRX
1018,HWM
1019,TATASTEEL.NS
1020,KB
1021,ITSA3.SA
1022,AMCR
1023,ALL.AX
1024,COL.AX
1025,SWMA.ST
1026,NHY.OL
1027,COO
1028,7309.T
1029,MRO
1030,SEDG
1031,PLTR
1032,MONC.MI
1033,BRO
1034,ADCB.AE
1035,FFH.TO
1036,EBO.F
1037,ATO
1038,HTHT
1039,ZBRA
1040,FDS
1041,OMV.F
1042,600919.SS
1043,UAL
1044,UCB.VI
1045,COALINDIA.NS
1046,FMC
1047,BOP.F
1048,NVR
1049,AVTR
1050,BT-A.L
1051,2020.SR
1052,STO.AX
1053,DGX
1054,SHG
1055,TRN.MI
1056,TEL.OL
1057,6920.T
1058,ABN.AS
1059,U
1060,2002A.TW
1061,WSP.TO
1062,CHKP
1063,PTC
1064,NCM.AX
1065,EBR
1066,1972.HK
1067,SYF
1068,SSNC
1069,ASX
1070,ESS
1071,601009.SS
1072,ADP.PA
1073,H.TO
1074,BIP
1075,COIN
1076,MTN.JO
1077,SJM
1078,600011.SS
1079,1150.SR
1080,KOF
1081,ADANIPORTS.NS
1082,0175.HK
1083,CEA
1084,1925.T
1085,J
1086,BEN
1087,TXT
1088,6502.T
1089,CON.DE
1090,IRM
1091,WLK
1092,SOON.SW
1093,AV.L
1094,TOU.TO
1095,RTO
1096,AGR
1097,MDB
1098,012330.KS
1099,5183.KL
1100,8015.T
1101,601238.SS
1102,AER
1103,ASII.JK
1104,003670.KS
1105,2382.HK
1106,VOLCAR-B.ST
1107,ENR.F
1108,CPB
1109,FLT
1110,JDE.F
1111,CCL
1112,LKQ
1113,ERF.PA
1114,S32.AX
1115,ADNOCDIST.AE
1116,601186.SS
1117,7832.T
1118,ADNOCDRILL.AE
1119,PHG
1120,ADANIGREEN.NS
1121,RE
1122,TPL
1123,2886.TW
1124,SJR
1125,SY1.DE
1126,POOL
1127,TRYG.CO
1128,AVY
1129,2338.HK
1130,PIDILITIND.NS
1131,AC.MX
1132,SBILIFE.NS
1133,9843.T
1134,L
1135,TME
1136,BURL
1137,BAM
1138,PST.MI
1139,1605.T
1140,LGLG.F
1141,6869.T
1142,2891.TW
1143,IPG
1144,STX
1145,AMUN.PA
1146,BG
1147,4507.T
1148,PEAK
1149,NZYM.VI
1150,NICE
1151,4684.T
1152,7201.T
1153,DHER.F
1154,6857.T
1155,8630.T
1156,PARA
1157,8421.T
1158,BDOUY
1159,6862.HK
1160,NTAP
1161,AM.PA
1162,VTRS
1163,VEDL.NS
1164,1038.HK
1165,TRMB
1166,PWF-PS.TO
1167,LW
1168,CBK.F
1169,BDMS.BK
1170,ELS
1171,FM.TO
1172,CA.PA
1173,2280.SR
1174,BAER.SW
1175,QBE.AX
1176,IOC.NS
1177,NDSN
1178,FORTUM.HE
1179,EDEN.PA
1180,CRBG
1181,EVRG
1182,SW.PA
1183,4307.T
1184,BRITANNIA.NS
1185,6762.T
1186,0881.HK
1187,AMH
1188,HDFCLIFE.NS
1189,BPYPP
1190,GLPI
1191,1326.TW
1192,ALFA.ST
1193,IP
1194,TYL
1195,GEN
1196,SIEMENS.NS
1197,BIO
1198,AKAM
1199,8309.T
1200,AZPN
1201,LBRDA
1202,ENELAM.SN
1203,601169.SS
1204,KPN.F
1205,8308.T
1206,TBVPF
1207,WDC
1208,BAJAJ-AUTO.NS
1209,LDOS
1210,HST
1211,TRU
1212,CBOE
1213,RS
1214,GRASIM.NS
1215,TPIA.JK
1216,HEI.DE
1217,AKZA.AS
1218,ANE.MC
1219,MKTX
1220,C6L.SI
1221,CPT
1222,SNA
1223,GRAB
1224,FHN
1225,KIM
1226,600588.SS
1227,B3SA3.SA
1228,APA
1229,MTCH
1230,JEM.F
1231,WTC.AX
1232,CSL
1233,MTX.DE
1234,AXON
1235,LNT
1236,RNO.PA
1237,CE
1238,WPP
1239,WLN.PA
1240,CTLT
1241,PKG
1242,BVI.PA
1243,HUBB
1244,DOCU
1245,2503.T
1246,DT
1247,4151.T
1248,CRL
1249,1928.T
1250,TNABY
1251,GDDY
1252,601600.SS
1253,601229.SS
1254,BAH
1255,AFXA.F
1256,ENTG
1257,LHA.DE
1258,7011.T
1259,ZAL.DE
1260,9101.T
1261,RDOR3.SA
1262,CPR.MI
1263,BNZL.L
1264,DPZ
1265,GCTAF
1266,9735.T
1267,SWK
1268,PHM
1269,UHAL
1270,1216.TW
1271,ACM
1272,SGRO.L
1273,ERIE
1274,BIM.PA
1275,VOD.JO
1276,CG
1277,7270.T
1278,EN.PA
1279,MRU.TO
1280,LUMI.TA
1281,UNVR.JK
1282,CCJ
1283,GBLB.VI
1284,PCTY
1285,SCC.BK
1286,OKTA
1287,MULTIPLY.AE
1288,KRX.IR
1289,NN.AS
1290,WYNN
1291,1050.SR
1292,SOLB.VI
1293,CPI.JO
1294,600015.SS
1295,601336.SS
1296,JKHY
1297,IHG
1298,NMR
1299,HINDALCO.NS
1300,5880.TW
1301,TECHM.NS
1302,MAS
1303,SNN
1304,H
1305,TLX.DE
1306,Q0F.SI
1307,VIV
1308,RAND.AS
1309,STEAV.HE
1310,PSNY
1311,MIN.AX
1312,3692.HK
1313,5871.TW
1314,NEXI.MI
1315,0006.HK
1316,CNA
1317,YAR.OL
1318,CHRW
1319,BNR.DE
1320,CS
1321,600547.SS
1322,CRDA.L
1323,AVV.L
1324,TECH
1325,NWS
1326,REXR
1327,WTRG
1328,TOST
1329,CDAY
1330,GODREJCP.NS
1331,EXAS
1332,BLDR
1333,AN
1334,EQH
1335,0316.HK
1336,KMX
1337,LSXMB
1338,BBNI.JK
1339,INF.L
1340,INDU-A.ST
1341,GL
1342,LUND-B.ST
1343,TFX
1344,SUZ
1345,DABUR.NS
1346,VIFN.SW
1347,HSIC
1348,GGG
1349,BXB.AX
1350,BSY
1351,ADE.OL
1352,2884.TW
1353,FMCCT
1354,8830.T
1355,AFG
1356,BOL.ST
1357,A5G.IR
1358,WSO
1359,UTHR
1360,6645.T
1361,096775.KS
1362,DOX
1363,FNF
1364,JD.L
1365,CZR
1366,SUN.AX
1367,2207.TW
1368,XEKT.MC
1369,BIRG.IR
1370,REA.AX
1371,BRBY.L
1372,2892.TW
1373,TTC
1374,900945.SS
1375,POLI.TA
1376,RPM
1377,OVV
1378,BARN.SW
1379,6146.T
1380,7532.T
1381,ACI
1382,LSCC
1383,TWLO
1384,QGEN
1385,086790.KS
1386,FBK.MI
1387,BXP
1388,BWA
1389,EQT
1390,FMS
1391,ALO.PA
1392,5713.T
1393,ZI
1394,AEG
1395,TAP
1396,SASA.IS
1397,FIVE
1398,RR.L
1399,INDUSINDBK.NS
1400,0019.HK
1401,VIV.PA
1402,DECK
1403,RYAN
1404,FCNCA
1405,KBX.DE
1406,SAP.TO
1407,1177.HK
1408,SK3.IR
1409,BCH
1410,CHK
1411,ANA.MC
1412,EWBC
1413,5020.T
1414,IVN.TO
1415,2267.T
1416,REG
1417,TFII
1418,1140.SR
1419,TEVA
1420,BAP
1421,EICHERMOT.NS
1422,RENT3.SA
1423,LTI.BO
1424,JBL
1425,MMP
1426,NXT.L
1427,DLF.NS
1428,INW.MI
1429,QRVO
1430,AAL
1431,LAMR
1432,DKS
1433,BANKBARODA.NS
1434,1023.KL
1435,GFL
1436,4528.T
1437,SCI
1438,H78.SI
1439,TPR
1440,PRY.MI
1441,SPX.L
1442,0083.HK
1443,NI
1444,RHM.F
1445,WES
1446,2587.T
1447,BRKR
1448,SRPT
1449,SCG.AX
1450,SCB.BK
1451,WSC
1452,EVK.DE
1453,323410.KS
1454,EMA.TO
1455,SSL
1456,ARCC
1457,0992.HK
1458,LSI
1459,FLEX
1460,HLMA.L
1461,DINO
1462,FND
1463,RHC.AX
1464,2603.TW
1465,PUM.DE
1466,FGR.PA
1467,KBANK.BK
1468,9202.T
1469,ALLE
1470,UHS
1471,BILL
1472,6823.HK
1473,CUBE
1474,ALD.AX
1475,DAR
1476,003550.KS
1477,EMN
1478,RGEN
1479,CCK
1480,1080.SR
1481,CPU.AX
1482,SHREECEM.NS
1483,Z
1484,RRX
1485,CLF
1486,BBWI
1487,9143.T
1488,WCH.F
1489,MTN
1490,JHX
1491,CPN.BK
1492,WOLF
1493,NLY
1494,VBL.NS
1495,6506.T
1496,2880.TW
1497,MORN
1498,CIPLA.NS
1499,6701.T
1500,ARMK
1501,SCA-B.ST
1502,3407.T
1503,VFC
1504,NST.AX
1505,AOS
1506,NBIX
1507,C38U.SI
1508,IMP.JO
1509,BJ
1510,688012.SS
1511,BABWF
1512,JNPR
1513,ICL
1514,AGCO
1515,RGA
1516,LECO
1517,PEN
1518,TPG
1519,CMA
1520,PAG
1521,51C.F
1522,HAL.NS
1523,5802.T
1524,9021.T
1525,2382.TW
1526,LBTYB
1527,COH.AX
1528,SDR.L
1529,DWNI.DE
1530,2801.T
1531,SHL.AX
1532,TELIA.ST
1533,ALLY
1534,OTEX
1535,6988.T
1536,GFI
1537,3008.TW
1538,GZ5.F
1539,SGE.L
1540,032830.KS
1541,HLE.F
1542,ENT.L
1543,RNR
1544,2007.HK
1545,KEP
1546,INDIGO.NS
1547,BKI
1548,ZEN
1549,SNX
1550,GET.PA
1551,FPH.NZ
1552,5819.KL
1553,IMCD.AS
1554,HAVELLS.NS
1555,AGL
1556,IPN.PA
1557,XM
1558,KNX
1559,VACN.SW
1560,ASX.AX
1561,3402.T
1562,RED.MC
1563,7202.T
1564,PKO.WA
1565,WBS
1566,MB.MI
1567,JAZZ
1568,7701.T
1569,LIFCO-B.ST
1570,URW.AS
1571,BN4.SI
1572,BBL.BK
1573,MOCORP.HE
1574,2885.TW
1575,PAC
1576,GJF.OL
1577,PSTG
1578,THYAO.IS
1579,CGNX
1580,ADIB.AE
1581,ALDAR.AE
1582,GGB
1583,LII
1584,RCO.PA
1585,KCHOL.IS
1586,2883.HK
1587,SYM
1588,LOGI
1589,601021.SS
1590,OC
1591,0322.HK
1592,2395.TW
1593,DIVISLAB.NS
1594,G13.SI
1595,9104.T
1596,PNR
1597,MNHVF
1598,2912.TW
1599,NVCR
1600,0101.HK
1601,PFGC
1602,FROTO.IS
1603,REC.MI
1604,CAR
1605,FERTIGLB.AE
1606,CHDN
1607,1COV.F
1608,4716.T
1609,ELISA.HE
1610,MNDI.L
1611,STOR
1612,SOF.VI
1613,SIGN.SW
1614,9531.T
1615,NOV
1616,RDY
1617,VST
1618,AAP
1619,GFC.PA
1620,MANH
1621,RHI
1622,YNDX.ME
1623,PLUG
1624,000876.SZ
1625,A17U.SI
1626,BPCL.NS
1627,VIPS
1628,ENX.PA
1629,034730.KS
1630,3045.TW
1631,UU.L
1632,FRT
1633,AC.PA
1634,2016.HK
1635,MEZ.AX
1636,8TRA.DE
1637,AA
1638,9201.T
1639,BSMX
1640,2897.T
1641,SKF-B.ST
1642,009155.KS
1643,ITRK.L
1644,SBICARD.NS
1645,JEF
1646,UMI.VI
1647,HII
1648,COTY
1649,8795.T
1650,1821.HK
1651,FFIV
1652,AMBUJACEM.NS
1653,PAA
1654,SJX.F
1655,C07.SI
1656,XP
1657,0384.HK
1658,STJ.L
1659,7272.T
1660,O2D.DE
1661,WEX
1662,PATH
1663,ORG.AX
1664,MASI
1665,DCP
1666,0ZQ.F
1667,CUERVO.MX
1668,KESKOA.HE
1669,CCH.L
1670,1101.TW
1671,GRFS
1672,BEL.NS
1673,SAGA-B.ST
1674,YPF
1675,G
1676,DBX
1677,010130.KS
1678,BILI
1679,011200.KS
1680,OSH
1681,OTP.BD
1682,4324.T
1683,DNP.WA
1684,3P7.F
1685,CFR
1686,033780.KS
1687,XPEV
1688,AU
1689,SBNY
1690,5201.T
1691,WSM
1692,HOOD
1693,XRO.AX
1694,IVZ
1695,SEIC
1696,MZTF.TA
1697,051905.KS
1698,9503.T
1699,JLL
1700,SGFY
1701,6965.T
1702,ADM.L
1703,HMSP.JK
1704,ADPORTS.AE
1705,CCL-B.TO
1706,WRK
1707,BAJAJHLDNG.NS
1708,CBSH
1709,QAN.AX
1710,LEGN
1711,SWCH
1712,WAL
1713,INDT.ST
1714,TATACONSUM.NS
1715,MIDD
1716,NNN
1717,COLD
1718,4188.T
1719,USFD
1720,ADANIPOWER.NS
1721,4755.T
1722,NFE
1723,YMM
1724,IAG.AX
1725,034020.KS
1726,ALGM
1727,6415.TW
1728,CASY
1729,UNM
1730,ABB.NS
1731,LEA
1732,PNW
1733,FDJ.VI
1734,6963.T
1735,BSAC
1736,AIA.AX
1737,JBSS3.SA
1738,RGLD
1739,SRF.NS
1740,AMRT.JK
1741,9502.T
1742,PCOR
1743,TATAPOWER.NS
1744,UGI
1745,ASR
1746,CHOLAFIN.NS
1747,AR
1748,DLB
1749,MEGACPO.MX
1750,8697.T
1751,SKM
1752,EDNR.MI
1753,ENKAI.IS
1754,G1A.F
1755,OLN
1756,7203.SR
1757,0656.HK
1758,ICBP.JK
1759,FBHS
1760,NRG
1761,ORI
1762,7202.SR
1763,ST
1764,ALV
1765,XRAY
1766,010950.KS
1767,MARICO.NS
1768,CHP-UN.TO
1769,CTC.TO
1770,HAS
1771,AMR.AE
1772,ZION
